x,u_initial,u_numerical,u_analytical,error
0.0,0.0,NaN,0.0,NaN
0.01,0.1254571363114655,NaN,0.00012314685077562609,NaN
0.02,0.24967817714673166,NaN,0.00024580769719168536,NaN
0.03,0.37144359092806356,NaN,0.00036749845292578375,NaN
0.04,0.48956672421571246,NaN,0.000487738860160257,NaN
0.05,0.6029096205211839,NaN,0.0006060543849403673,NaN
0.06,0.7103981056490223,NaN,0.0007219780899430291,NaN
0.07,0.8110359129529673,NaN,0.0008350524772651004,NaN
0.08,0.9039176368527229,NaN,0.0009448312939585944,NaN
0.09,0.9882403212120064,NaN,0.0010508812931871924,NaN
0.1,1.06331351044005,NaN,0.0011527839440535754,NaN
0.11,1.128567615113034,NaN,0.0012501370833496665,NaN
0.12,1.1835604701428244,NaN,0.001342556502711083,NaN
0.13,1.2279819916355472,NaN,0.001429677464912022,NaN
0.14,1.2616568681401337,NaN,0.001511156143316457,NaN
0.15,1.2845452525225243,NaN,0.001586670978804794,NaN
0.16,1.2967414517350249,NaN,0.001655923948820807,NaN
0.17,1.2984706427948711,NaN,0.001718641743530515,NaN
0.18,1.290083673853914,NaN,0.0017745768444512341,NaN
0.19,1.2720500388525957,NaN,0.0018235085012939466,NaN
0.2,1.24494914244139,NaN,0.0018652436031638422,NaN
0.21,1.2094599981794887,NaN,0.0018996174406807947,NaN
0.22,1.1663495270710276,NaN,0.0019264943560120375,NaN
0.23,1.1164596448969053,NaN,0.0019457682782516527,NaN
0.24,1.060693345210424,NaN,0.0019573631420339776,NaN
0.25,1.0,NaN,0.0019612331877288535,NaN
0.26,0.9353601116461194,NaN,0.0019573631420339776,NaN
0.27,0.8677697577320506,NaN,0.0019457682782516527,NaN
0.28,0.7982249743863498,NaN,0.0019264943560120377,NaN
0.29,0.7277063240777737,NaN,0.001899617440680795,NaN
0.3,0.6571638901489172,NaN,0.0018652436031638424,NaN
0.31,0.5875029329239071,NaN,0.0018235085012939468,NaN
0.32,0.5195704310781248,NaN,0.001774576844451234,NaN
0.33,0.4541427172928563,NaN,0.0017186417435305153,NaN
0.34,0.3919143992690055,NaN,0.0016559239488208072,NaN
0.35,0.3334887362273707,NaN,0.001586670978804794,NaN
0.36,0.2793696174114449,NaN,0.001511156143316457,NaN
0.37,0.22995526320727566,NaN,0.0014296774649120217,NaN
0.38,0.18553374171455306,NaN,0.0013425565027110834,NaN
0.39,0.1462803643843455,NaN,0.001250137083349667,NaN
0.4,0.11225699414489643,NaN,0.0011527839440535757,NaN
0.41,0.08341326874598687,NaN,0.0010508812931871924,NaN
0.42,0.05958971135070773,NaN,0.0009448312939585942,NaN
0.43,0.04052267017717809,NaN,0.0008350524772651008,NaN
0.44,0.025850999720333667,NaN,0.0007219780899430296,NaN
0.45,0.015124368228710827,NaN,0.0006060543849403675,NaN
0.46,0.007813050113997161,NaN,0.0004877388601602571,NaN
0.47,0.0033190382433856414,NaN,0.0003674984529257837,NaN
0.48,0.000988289981876861,NaN,0.0002458076971916859,NaN
0.49,0.0001239027471612586,NaN,0.0001231468507756265,NaN
0.5,0.0,NaN,2.4018179457337003e-19,NaN
0.51,-0.0001239027471612586,NaN,-0.00012314685077562603,NaN
0.52,-0.000988289981876847,NaN,-0.0002458076971916854,NaN
0.53,-0.0033190382433856414,NaN,-0.0003674984529257832,NaN
0.54,-0.007813050113997133,NaN,-0.0004877388601602566,NaN
0.55,-0.015124368228710827,NaN,-0.0006060543849403671,NaN
0.56,-0.02585099972033361,NaN,-0.0007219780899430291,NaN
0.57,-0.04052267017717803,NaN,-0.0008350524772651004,NaN
0.58,-0.05958971135070762,NaN,-0.0009448312939585937,NaN
0.59,-0.08341326874598676,NaN,-0.001050881293187192,NaN
0.6,-0.11225699414489626,NaN,-0.0011527839440535752,NaN
0.61,-0.14628036438434533,NaN,-0.0012501370833496665,NaN
0.62,-0.18553374171455295,NaN,-0.0013425565027110832,NaN
0.63,-0.22995526320727555,NaN,-0.0014296774649120215,NaN
0.64,-0.27936961741144506,NaN,-0.0015111561433164573,NaN
0.65,-0.3334887362273705,NaN,-0.0015866709788047938,NaN
0.66,-0.39191439926900473,NaN,-0.0016559239488208063,NaN
0.67,-0.45414271729285605,NaN,-0.001718641743530515,NaN
0.68,-0.5195704310781245,NaN,-0.0017745768444512337,NaN
0.69,-0.5875029329239072,NaN,-0.0018235085012939468,NaN
0.7,-0.6571638901489169,NaN,-0.0018652436031638422,NaN
0.71,-0.7277063240777728,NaN,-0.0018996174406807945,NaN
0.72,-0.7982249743863498,NaN,-0.0019264943560120377,NaN
0.73,-0.86776975773205,NaN,-0.0019457682782516525,NaN
0.74,-0.9353601116461197,NaN,-0.0019573631420339776,NaN
0.75,-0.9999999999999998,NaN,-0.0019612331877288535,NaN
