x,u_initial,u_final_numerical,u_final_analytical,error
0.0,0.0,1.6003235335944791e261,0.0,1.6003235335944791e261
0.01,0.1254571363114655,1.4894762577350467e261,1.2915907295358094e-69,1.4894762577350467e261
0.02,0.24967817714673166,7.050847032319948e270,2.578084140533817e-69,7.050847032319948e270
0.03,0.37144359092806356,2.0324964912069712e271,3.854403031243745e-69,2.0324964912069712e271
0.04,0.48956672421571246,3.899584939993612e271,5.1155103540986e-69,3.899584939993612e271
0.05,0.6029096205211839,6.22400862622564e271,6.356429094640202e-69,6.22400862622564e271
0.06,0.7103981056490223,8.924018980957897e271,7.572261913521485e-69,8.924018980957897e271
0.07,0.8110359129529673,1.1918813672110919e272,8.758210474067499e-69,1.1918813672110919e272
0.08,0.9039176368527229,1.5128947087407073e272,9.909594379118132e-69,1.5128947087407073e272
0.09,0.9882403212120064,1.8476785633408873e272,1.1021869642417413e-68,1.8476785633408873e272
0.1,1.06331351044005,2.1886995772532384e272,1.2090646621651339e-68,2.1886995772532384e272
0.11,1.128567615113034,2.528705299539012e272,1.3111707342360624e-68,2.528705299539012e272
0.12,1.1835604701428244,2.860776027549557e272,1.4081022144358904e-68,2.860776027549557e272
0.13,1.2279819916355472,3.1783764980418545e272,1.4994765584960504e-68,3.1783764980418545e272
0.14,1.2616568681401337,3.4754063719358073e272,1.584933153625503e-68,3.4754063719358073e272
0.15,1.2845452525225243,3.746248519156339e272,1.6641347416846776e-68,3.746248519156339e272
0.16,1.2967414517350249,3.985814176124934e272,1.736768750189268e-68,3.985814176124934e272
0.17,1.2984706427948711,4.1895841219275835e272,1.8025485258910289e-68,4.1895841219275835e272
0.18,1.290083673853914,4.353645099513726e272,1.861214466067186e-68,4.353645099513726e272
0.19,1.2720500388525957,4.474720794868419e272,1.912535043053783e-68,4.474720794868419e272
0.2,1.24494914244139,4.5501967792247565e272,1.9563077179795955e-68,4.5501967792247565e272
0.21,1.2094599981794887,4.578138916218058e272,1.9923597400945236e-68,4.578138916218058e272
0.22,1.1663495270710276,4.5573048365098885e272,2.020548828537882e-68,4.5573048365098885e272
0.23,1.1164596448969053,4.487148185834891e272,2.040763733855955e-68,4.487148185834891e272
0.24,1.060693345210424,4.367815457592853e272,2.0529246770527625e-68,4.367815457592853e272
0.25,1.0,4.2001353269237047e272,2.0569836644413143e-68,4.2001353269237047e272
0.26,0.9353601116461194,3.9856005085368475e272,2.0529246770527625e-68,3.9856005085368475e272
0.27,0.8677697577320506,3.7263422642784143e272,2.040763733855955e-68,3.7263422642784143e272
0.28,0.7982249743863498,3.425097787374073e272,2.0205488285378823e-68,3.425097787374073e272
0.29,0.7277063240777737,3.085170787363402e272,1.9923597400945236e-68,3.085170787363402e272
0.3,0.6571638901489172,2.710385691861688e272,1.9563077179795955e-68,2.710385691861688e272
0.31,0.5875029329239071,2.30503596741255e272,1.9125350430537836e-68,2.30503596741255e272
0.32,0.5195704310781248,1.8738271408596356e272,1.861214466067186e-68,1.8738271408596356e272
0.33,0.4541427172928563,1.4218151739736808e272,1.802548525891029e-68,1.4218151739736808e272
0.34,0.3919143992690055,9.543409067168102e271,1.7367687501892682e-68,9.543409067168102e271
0.35,0.3334887362273707,4.7696133780262545e271,1.6641347416846776e-68,4.7696133780262545e271
0.36,0.2793696174114449,-4.621445479305879e269,1.584933153625503e-68,4.621445479305879e269
0.37,0.22995526320727566,-4.8463284334329894e271,1.49947655849605e-68,4.8463284334329894e271
0.38,0.18553374171455306,-9.572989586026445e271,1.4081022144358908e-68,9.572989586026445e271
0.39,0.1462803643843455,-1.416919572866766e272,1.3111707342360628e-68,1.416919572866766e272
0.4,0.11225699414489643,-1.8579400060340782e272,1.209064662165134e-68,1.8579400060340782e272
0.41,0.08341326874598687,-2.2750209924755806e272,1.1021869642417413e-68,2.2750209924755806e272
0.42,0.05958971135070773,-2.6631057294304246e272,9.909594379118127e-69,2.6631057294304246e272
0.43,0.04052267017717809,-3.0174832858841864e272,8.758210474067504e-69,3.0174832858841864e272
0.44,0.025850999720333667,-3.3338476031434465e272,7.572261913521489e-69,3.3338476031434465e272
0.45,0.015124368228710827,-3.6083513709031963e272,6.356429094640206e-69,3.6083513709031963e272
0.46,0.007813050113997161,-3.8376541241563965e272,5.115510354098601e-69,3.8376541241563965e272
0.47,0.0033190382433856414,-4.018963976038584e272,3.8544030312437443e-69,4.018963976038584e272
0.48,0.000988289981876861,-4.1500724787561825e272,2.5780841405338226e-69,4.1500724787561825e272
0.49,0.0001239027471612586,-4.229382188147588e272,1.2915907295358135e-69,4.229382188147588e272
0.5,0.0,-4.2559265961264095e272,2.519078460556449e-84,4.2559265961264095e272
0.51,-0.0001239027471612586,-4.2293821881472174e272,-1.2915907295358088e-69,4.2293821881472174e272
0.52,-0.000988289981876847,-4.150072478755448e272,-2.5780841405338175e-69,4.150072478755448e272
0.53,-0.0033190382433856414,-4.0189639760375004e272,-3.854403031243739e-69,4.0189639760375004e272
0.54,-0.007813050113997133,-3.837654124154987e272,-5.115510354098596e-69,3.837654124154987e272
0.55,-0.015124368228710827,-3.60835137090149e272,-6.3564290946402e-69,3.60835137090149e272
